.\gitmap\clonefrom\prompt.go|11|bare bool return|func confirmYesNo(prompt string) bool {
.\gitmap\clonefrom\render.go|38|raw error return|func Render(w io.Writer, p Plan) error {
.\gitmap\clonefrom\render.go|59|raw error return|func RenderTerminal(w io.Writer, p Plan) error {
.\gitmap\clonefrom\summary.go|33|raw error return|func RenderSummary(w io.Writer, results []Result, reportPath string) error {
.\gitmap\clonefrom\summary.go|55|raw error return|func writeReportPath(w io.Writer, reportPath string) error {
.\gitmap\clonefrom\summary.go|105|raw error return|func WriteReport(results []Result) (string, error) {
.\gitmap\clonefrom\summary.go|108|fmt.Errorf|return "", fmt.Errorf(constants.ErrCloneFromReportMkdir, dir, err)
.\gitmap\clonefrom\summary.go|114|fmt.Errorf|return "", fmt.Errorf(constants.ErrCloneFromReportCreate, full, err)
.\gitmap\clonefrom\summary.go|127|raw error return|func writeReportRows(w io.Writer, results []Result) error {
.\gitmap\clonefrom\summary_json.go|73|raw error return|func writeReportRowsJSON(w io.Writer, results []Result) error {
.\gitmap\clonefrom\summary_scheme.go|67|bare bool return|func matchKnownScheme(url string) (string, bool) {
.\gitmap\clonefrom\summary_terminal.go|39|raw error return|func WriteReportJSON(results []Result) (string, error) {
.\gitmap\clonefrom\summary_terminal.go|42|fmt.Errorf|return "", fmt.Errorf(constants.ErrCloneFromReportMkdir, dir, err)
.\gitmap\clonefrom\summary_terminal.go|48|fmt.Errorf|return "", fmt.Errorf(constants.ErrCloneFromReportCreate, full, err)
.\gitmap\clonefrom\summary_terminal.go|83|raw error return|func writeTermSummaryHead(w io.Writer, results []Result) error {
.\gitmap\clonefrom\summary_terminal.go|97|raw error return|func writeTermSummarySchemes(w io.Writer, results []Result) error {
.\gitmap\clonefrom\summary_terminal.go|122|raw error return|func writeTermSummaryStatus(w io.Writer, results []Result) error {
.\gitmap\clonefrom\summary_terminal.go|138|raw error return|func writeTermSummaryReports(w io.Writer, csvPath, jsonPath string) error {
.\gitmap\clonefrom\summary_terminal.go|153|raw error return|func writeTermReportPath(w io.Writer, label, path string) error {
.\gitmap\clonefrom\summary_transport.go|39|raw error return|func writeTransportLine(w io.Writer, results []Result) error {
.\gitmap\clonefrom\testhelpers_test.go|13|raw error return|func writeFile(path, body string) error {
.\gitmap\clonefrom\validate.go|28|raw error return|func validateRow(r Row) error {
.\gitmap\clonefrom\validate.go|37|raw error return|func validateRowWithColumn(r Row) (string, error) {
